Year,DOY,Hour,Minute,TYPE,DIRECTION,Range(RS),Lat(deg),LT(hours),XPOS(RS),YPOS(RS),ZPOS(RS)
2004,180,18,43,MP,I,34.415897,-15.293696,7.9743295,16.971092,-29.856404,-2.2430571
2004,180,18,49,MP,O,34.368793,-15.292027,7.9750185,16.953355,-29.812683,-2.2364327
2004,180,19,53,MP,I,33.865253,-15.273911,7.9824877,16.763600,-29.345303,-2.1656899
2004,180,20,23,MP,O,33.628517,-15.265203,7.9860663,16.674284,-29.125556,-2.1324752
2004,180,20,27,MP,I,33.596916,-15.264032,7.9865479,16.662356,-29.096220,-2.1280436
2004,180,20,44,MP,O,33.462532,-15.259026,7.9886026,16.611620,-28.971475,-2.1092041
2004,180,21,9,MP,I,33.264633,-15.251575,7.9916544,16.536865,-28.787765,-2.0814781
2004,180,21,32,MP,O,33.082283,-15.244633,7.9944944,16.467940,-28.618483,-2.0559491
2004,180,21,56,MP,I,32.891712,-15.237290,7.9974928,16.395862,-28.441561,-2.0292878
2004,180,23,7,MP,O,32.326141,-15.214989,8.0065718,16.181677,-27.916469,-1.9502825
2004,181,2,43,MP,I,30.588213,-15.141213,8.0362825,15.520766,-26.302565,-1.7086895
2004,186,4,42,MP,O,34.850549,-16.233999,5.0169737,-8.0800000,-30.700000,-14.380000
2004,186,10,24,MP,I,36.570034,-16.296000,5.0598083,-8.1300000,-32.360000,-14.970000
2004,186,17,57,MP,O,38.776164,-16.367001,5.1105117,-8.1800000,-34.490000,-15.720000
2004,186,20,17,MP,I,39.441038,-16.386000,5.1251207,-8.1900000,-35.130000,-15.950000
2004,188,7,6,MP,O,48.601377,-16.604000,5.2932298,-8.2300000,-43.970000,-19.000000
2004,188,8,11,MP,I,48.858855,-16.608999,5.2971357,-8.2300000,-44.220000,-19.080000
2004,188,13,14,MP,O,50.228288,-16.631001,5.3178833,-8.2200000,-45.540000,-19.530000
2004,188,15,13,MP,I,50.559601,-16.639999,5.3233504,-8.2100000,-45.860000,-19.640000
2004,188,19,39,MP,O,51.602692,-16.658001,5.3384286,-8.2000000,-46.870000,-19.970000
2004,300,6,58,MP,I,22.767235,-2.1836543,10.092765,18.928963,-10.324056,7.3113116
2004,300,7,13,MP,O,22.687698,-2.1341820,10.102950,18.881407,-10.232892,7.3151947
2004,300,7,32,MP,I,22.586842,-2.0709991,10.115966,18.820846,-10.117257,7.3199869
2004,300,8,21,MP,O,22.326069,-1.9052693,10.150150,18.662922,-9.8181021,7.3316800
2004,300,10,42,MP,I,21.570381,-1.4047724,10.253798,18.193909,-8.9497671,7.3596706
2004,308,14,34,MP,O,45.422611,-13.753762,5.1367464,-9.5326355,-41.459323,-15.920653
2004,308,18,18,MP,I,46.097187,-13.752391,5.1700759,-9.3192107,-42.214504,-16.001199
2004,308,20,0,MP,O,46.400669,-13.751411,5.1849012,-9.2210730,-42.553901,-16.036191
2004,309,1,16,MP,I,47.326580,-13.747069,5.2295136,-8.9134916,-43.588011,-16.138153
2004,309,18,51,MP,O,50.268776,-13.720665,5.3657703,-7.8530268,-46.860224,-16.413370
2004,348,2,34,MP,I,22.879391,-1.5785815,9.9945211,18.752472,-10.862640,7.3358333
2004,348,3,46,MP,O,22.509617,-1.4183028,10.037632,18.537354,-10.460412,7.3231923
2004,348,5,27,MP,I,21.985424,-1.1839302,10.100823,18.226536,-9.8911186,7.3019145
2004,356,20,16,MP,O,44.932804,-4.9694519,6.0404119,0.47344984,-44.749282,-4.0292197
2005,22,19,50,MP,O,44.674290,-4.9491425,5.8966966,-1.2014026,-44.411670,-4.6853259
2005,44,16,38,MP,I,30.486917,-1.6805921,9.1744061,21.716560,-19.818772,8.0659430
2005,45,0,10,MP,O,28.666401,-1.4883299,9.3200788,21.038047,-17.777788,7.9443932
2005,45,1,30,MP,I,28.333481,-1.4514271,9.3479671,20.906648,-17.406702,7.9186405
2005,54,22,55,MP,O,41.207813,0.046172455,7.1203947,11.828746,-39.164096,4.9333871
2005,54,23,7,MP,I,41.223972,0.045988139,7.1219902,11.849520,-39.173753,4.9418390
2005,54,23,18,MP,O,41.238739,0.045819312,7.1234512,11.868549,-39.182560,4.9495809
2005,54,23,44,MP,I,41.273510,0.045420684,7.1269016,11.913474,-39.203217,4.9678592
2005,54,23,51,MP,O,41.282837,0.045313455,7.1278296,11.925559,-39.208738,4.9727752
2005,55,0,24,MP,I,41.326591,0.044808619,7.1321979,11.982452,-39.234536,4.9959203
2005,55,0,26,MP,O,41.329235,0.044778064,7.1324625,11.985895,-39.236087,4.9973213
2005,64,23,41,MP,I,30.266109,-0.12529984,9.1933441,21.490183,-19.417765,8.7840645
2005,65,1,26,MP,O,29.919228,-0.12650397,9.2217064,21.373878,-19.026307,8.7359741
2005,65,21,49,MP,I,25.399162,-0.14240871,9.6167707,19.566843,-14.085297,7.9912796
