

                                                            Ecliptic Coordinate System

                         +---------- Position (1 Rs = 60268.0 km) ----------+    +-------------------- Velocity --------------------+

      SCET (UT)              X (Rs)        Y (Rs)        Z (Rs)        R (Rs)      X (km/s)      Y (km/s)      Z (km/s)   Vmag (km/s)
---------------------    ----------    ----------    ----------    ----------    ----------    ----------    ----------   -----------
2004 183 02 00 00.000         0.936         1.121         0.572         1.569       -24.880        10.256        -9.730        28.615
2004 184 02 00 00.000        -6.542       -13.778        -4.872        16.011        -1.187        -8.136        -1.662         8.389
2004 185 02 00 00.000        -7.611       -23.878        -6.741        25.952        -0.446        -6.241        -1.057         6.346
2004 186 02 00 00.000        -8.055       -32.084        -8.056        34.047        -0.181        -5.296        -0.805         5.360
2004 187 02 00 00.000        -8.229       -39.208        -9.097        41.082        -0.043        -4.686        -0.658         4.733
2004 188 02 00 00.000        -8.255       -45.589        -9.964        47.389         0.040        -4.243        -0.558         4.280
2004 189 02 00 00.000        -8.186       -51.410       -10.708        53.147         0.096        -3.898        -0.484         3.929
2004 190 02 00 00.000        -8.052       -56.785       -11.359        58.467         0.136        -3.617        -0.427         3.645
2004 191 02 00 00.000        -7.873       -61.791       -11.936        63.424         0.166        -3.381        -0.380         3.406
2004 192 02 00 00.000        -7.660       -66.483       -12.453        68.072         0.188        -3.177        -0.341         3.201
2004 193 02 00 00.000        -7.422       -70.902       -12.918        72.450         0.206        -2.998        -0.308         3.021
2004 194 02 00 00.000        -7.163       -75.079       -13.339        76.591         0.220        -2.839        -0.280         2.861
2004 195 02 00 00.000        -6.890       -79.040       -13.721        80.518         0.231        -2.696        -0.254         2.717
2004 196 02 00 00.000        -6.604       -82.805       -14.070        84.251         0.241        -2.565        -0.232         2.587
2004 197 02 00 00.000        -6.308       -86.392       -14.387        87.808         0.248        -2.445        -0.212         2.467
2004 198 02 00 00.000        -6.005       -89.813       -14.678        91.202         0.254        -2.335        -0.193         2.356
2004 199 02 00 00.000        -5.696       -93.081       -14.943        94.445         0.259        -2.231        -0.177         2.253
2004 200 02 00 00.000        -5.382       -96.207       -15.185        97.546         0.264        -2.135        -0.161         2.157
2004 201 02 00 00.000        -5.065       -99.198       -15.406       100.515         0.267        -2.044        -0.147         2.067
2004 202 02 00 00.000        -4.745      -102.064       -15.608       103.360         0.270        -1.959        -0.134         1.982
2004 203 02 00 00.000        -4.424      -104.811       -15.791       106.086         0.272        -1.878        -0.122         1.901
2004 204 02 00 00.000        -4.101      -107.444       -15.957       108.700         0.274        -1.800        -0.110         1.825
2004 205 02 00 00.000        -3.777      -109.969       -16.107       111.207         0.276        -1.727        -0.099         1.752
2004 206 02 00 00.000        -3.453      -112.392       -16.241       113.612         0.277        -1.656        -0.089         1.682
2004 207 02 00 00.000        -3.129      -114.715       -16.362       115.918         0.278        -1.589        -0.079         1.615
2004 208 02 00 00.000        -2.805      -116.944       -16.469       118.131         0.279        -1.524        -0.070         1.550
2004 209 02 00 00.000        -2.482      -119.081       -16.562       120.253         0.279        -1.461        -0.061         1.488
2004 210 02 00 00.000        -2.160      -121.130       -16.644       122.287         0.279        -1.400        -0.053         1.429
2004 211 02 00 00.000        -1.839      -123.094       -16.713       124.237         0.279        -1.341        -0.045         1.371
2004 212 02 00 00.000        -1.519      -124.975       -16.772       126.104         0.279        -1.285        -0.037         1.315
2004 213 02 00 00.000        -1.200      -126.776       -16.819       127.892         0.279        -1.229        -0.029         1.261
2004 214 02 00 00.000        -0.883      -128.498       -16.857       129.602         0.279        -1.175        -0.022         1.208
2004 215 02 00 00.000        -0.568      -130.145       -16.884       131.237         0.278        -1.123        -0.016         1.157
2004 216 02 00 00.000        -0.254      -131.718       -16.901       132.798         0.278        -1.072        -0.009         1.107
2004 217 02 00 00.000         0.057      -133.218       -16.909       134.287         0.277        -1.022        -0.002         1.059
2004 218 02 00 00.000         0.367      -134.648       -16.908       135.706         0.276        -0.973         0.004         1.011
2004 219 02 00 00.000         0.675      -136.008       -16.899       137.056         0.276        -0.925         0.010         0.965
2004 220 02 00 00.000         0.980      -137.300       -16.880       138.338         0.275        -0.878         0.016         0.920
2004 221 02 00 00.000         1.284      -138.526       -16.854       139.553         0.274        -0.831         0.021         0.875
2004 222 02 00 00.000         1.585      -139.686       -16.819       140.704         0.273        -0.786         0.027         0.832
2004 223 02 00 00.000         1.885      -140.781       -16.777       141.790         0.272        -0.741         0.032         0.790
2004 224 02 00 00.000         2.182      -141.813       -16.727       142.813         0.271        -0.697         0.037         0.749
2004 225 02 00 00.000         2.476      -142.783       -16.670       143.774         0.269        -0.653         0.043         0.708
2004 226 02 00 00.000         2.769      -143.690       -16.605       144.673         0.268        -0.610         0.048         0.668
2004 227 02 00 00.000         3.059      -144.537       -16.533       145.512         0.267        -0.568         0.052         0.630
2004 228 02 00 00.000         3.347      -145.323       -16.455       146.290         0.266        -0.526         0.057         0.592
2004 229 02 00 00.000         3.632      -146.050       -16.369       147.009         0.264        -0.484         0.062         0.555
2004 230 02 00 00.000         3.915      -146.717       -16.277       147.669         0.263        -0.443         0.067         0.520
2004 231 02 00 00.000         4.196      -147.326       -16.178       148.271         0.262        -0.402         0.071         0.485
2004 232 02 00 00.000         4.474      -147.876       -16.073       148.815         0.260        -0.362         0.076         0.452
2004 233 02 00 00.000         4.750      -148.369       -15.962       149.301         0.259        -0.322         0.080         0.421
